image,split,plate_text,source
gi_a_377b225b-e978-4e7c-8e5e-f10d8effc336___Maruti-Suzuki-Ignis-Rear-view-94486.jpg.jpeg,train,HR26DA0471,gi_a
olx_UP_UP10.jpg,train,UP78DB3730,olx_UP
olx_GJ_GJ24.jpg,train,GJ23CC8798,olx_GJ
olx_BR_BR9.jpg,train,BR01AW1250,olx_BR
gi1_a_car-wbs-MH01BU5207_00000.jpeg,train,MH01BU5207,gi1_a
vi_a_video11_2660.jpg,train,MH03BS4060,vi_a
vi1_a_video9_120.jpg,train,MH01DT1917,vi1_a
olx_BR_BR4.jpg,train,BR06U2470,olx_BR
olx_CG_CG20.jpg,train,CG251612,olx_CG
gi_a_c8a79e91-8c48-42d0-9b80-137fd033493c___automakers-number-plates-nitin-gadkari_827x510_61522653557.jpg.jpeg,train,MH14TC947,gi_a
vi1_a_video3_1870.jpg,train,MH02EU4077,vi1_a
gi_a_3c0a3772-d18d-4ff7-861c-7e50b7974edb___1393874-take-look-number-plate-imageuploadedbyteambhp1437414250.447892.jpg.jpeg,train,GJW115A1138,gi_a
vi1_a_video3_640.jpg,train,MH02ER9194,vi1_a
gi1_a_car-wbs-KL54A2670_00000.png,train,KL54A2670,gi1_a
olx_PY_PY14.jpg,train,PY01CV2447,olx_PY
gi1_a_car-wbs-KA03MG2784_00000.png,train,KA03MG2784,gi1_a
olx_TS_TS6.jpg,train,TS18T3899,olx_TS
gi1_a_car-wbs-KL10AW2111_00000.jpeg,train,KL10AW2111,gi1_a
gi_a_b79f870d-15c7-48e3-8874-7c0e53e29f75___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_754eab882b8290b29a0454dd45580a39_555X416_1_-_Copy.jpg,train,DUSTER,gi_a
vi1_a_video4_2720.jpg,train,MH01AV7461,vi1_a
olx_JH_JH1.jpg,train,JH01Z3792,olx_JH
gi_a_acd85f93-544d-494e-b2f3-2d445937bb0b___new_1431956d1446017445-number-plates-merchandise-canvas-ink-gurgaon-edit-closed-thumb_img_4418_1024.jpg.jpeg,train,MH03BS7778,gi_a
gi_a_93b6ca4e-17cc-4b12-b7f5-66fb37c6107c___number-plate-factory-fitted1.jpg.jpeg,train,HR26DG6167,gi_a
vi_a_video11_2680.jpg,train,MH03BS4060,vi_a
olx_KA_KA8.jpg,train,KA51D9662,olx_KA
vi1_a_video6_930.jpg,train,MH02DS9365,vi1_a
olx_MH_MH13.jpg,train,MH05BS3471,olx_MH
gi1_a_fc1f58f0-2f54-4545-8915-2936d08dcce1___new_Skoda_Laura_DSG_Long_Term_Review-125.jpg.jpeg,train,MH20BN3525,gi1_a
gi_a_93b6319a-5886-48d8-8a69-07d586751553___2014-VW-Polo-facelift-first-drive-rear-number-plate.jpg.jpeg,train,TN02TC0143,gi_a
olx_PY_PY5.jpg,train,PY01AW2814,olx_PY
gi1_a_ef2dc97f-bc6d-49a3-9ddb-03f54f3a20e7___Skoda-Rapid-new-Exterior-84398.jpg.jpeg,train,MH20EE0943,gi1_a
olx_AP_AP14.jpg,train,AP10AS3445,olx_AP
vi_a_video11_4470.jpg,train,MH02MA5324,vi_a
vi1_a_video3_1120.jpg,train,MH02EK4399,vi1_a
gi1_a_dfedf2ad-6596-48d4-a7f6-171e55c8f637___1160575d1383218860-high-security-registration-plates-hsrp-india-wp_20131030_16_01_22_pro.jpg.jpeg,train,GJ051D9443,gi1_a
vi1_a_video3_610.jpg,train,MH02ER9194,vi1_a
vi1_a_video8_2100.jpg,train,MH02CR8276,vi1_a
gi_a_07bd977e-d578-49a2-b345-7cee5a4db6bf___new_1031520d1356604430-skoda-rapid-joins-family-edit-sold-wp_000281.jpg.jpeg,train,MH12JC2813,gi_a
vi_a_video11_210.jpg,train,MH43BK9513,vi_a
olx_TS_TS16.jpg,train,TS07HM2684,olx_TS
olx_KA_KA21.jpg,train,KA28M3589,olx_KA
olx_GJ_GJ21.jpg,train,GJ12CG2526,olx_GJ
vi_a_video12_70.jpg,train,MH02BG9542,vi_a
vi1_a_video3_1650.jpg,train,MH02EE8407,vi1_a
olx_UP_UP4.jpg,train,UP16U3849,olx_UP
gi_a_a285cdf6-4640-41ee-b3f3-b721f334466f___Skoda-Octavia-RS-launched-in-India-3.jpg.jpeg,train,MH20EE7598,gi_a
vi_a_video11_3630.jpg,train,MH03AT3856,vi_a
olx_AP_AP15.jpg,train,AP28AT5333,olx_AP
olx_GJ_GJ25.jpg,train,GJ01HM5887,olx_GJ
vi1_a_video9_310.jpg,train,MH02FN2783,vi1_a
olx_OD_OD24.jpg,train,OD02J0435,olx_OD
olx_MH_MH18.jpg,train,MH12HN4507,olx_MH
olx_AP_AP5.jpg,train,AP39TP0211,olx_AP
olx_ML_ML23.jpg,train,ML05R1934,olx_ML
vi_a_video11_4450.jpg,train,MH02MA5324,vi_a
vi_a_video11_4670.jpg,train,MH01AX3070,vi_a
vi_a_video11_4440.jpg,train,MH02MA5324,vi_a
gi_a_0073797c-a755-4972-b76b-8ef2b31d44ab___new_IMG_20160315_071740.jpg.jpeg,train,KA19TR02,gi_a
vi1_a_video3_1880.jpg,train,MH02EU4077,vi1_a
vi_a_video11_2630.jpg,train,MH47Y1124,vi_a
vi_a_video10_670.jpg,train,DL3CCQ0107,vi_a
vi1_a_video4_2260.jpg,train,MH01CT9150,vi1_a
olx_KL_KL19.jpg,train,KL43D4389,olx_KL
vi1_a_video8_2480.jpg,train,MH4705851,vi1_a
olx_NL_NL7.jpg,train,NL01T8152,olx_NL
vi1_a_video8_1440.jpg,train,MH4705851,vi1_a
olx_OD_OD13.jpg,train,OD052323,olx_OD
vi_a_video11_1240.jpg,train,MH47Y1124,vi_a
gi_a_13ffaad4-a186-46bd-ae5d-924d1c8d7c50___maruti-suzuki-Baleno-RS-pics-48.jpg.jpeg,train,HR26DA5443,gi_a
vi1_a_video3_1050.jpg,train,ME02EE4077,vi1_a
gi1_a_e354039f-d73c-4f12-9df5-f0129345fa79___scorpio.JPG.jpeg,train,KA01D1330,gi1_a
olx_AS_AS13.jpg,train,AS25S6858,olx_AS
olx_KA_KA9.jpg,train,KA01MB9714,olx_KA
vi_a_video2_1820.jpg,train,DL8CN6308,vi_a
olx_AS_AS23.jpg,train,AS19D9919,olx_AS
olx_UK_UK6.jpg,train,UK07055789,olx_UK
vi_a_video10_920.jpg,train,MH01AU0059,vi_a
gi_a_59a29a85-30f5-469e-a6c2-e1af171f151c___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_10187746494_417a40a489_-_Copy.jpg,train,TN21AU7234,gi_a
gi_a_7616cb19-df24-4d29-b679-5252391a547f___Skoda-Laura-rear.jpg.jpeg,train,MH01AR5274,gi_a
vi1_a_video4_3820.jpg,train,MH02DW8021,vi1_a
vi1_a_video4_1100.jpg,train,GJ12FA0735,vi1_a
